Id,Title,Episodes,Year,Channel,Company,Technique,IMDb,Users
1,2 Stupid Dogs,26.0,1993-1995,TBS,Hanna-Barbera,Traditional,7.2,91%
2,3-2-1 Penguins!,27.0,2000-2008,Direct to video,Big Idea Productions,CGI,6.5,91%
3,3-South,13.0,2002-2003,MTV,Warner Bros. AnimationMTV Animation,Traditional,8.0,87%
4,3Below: Tales of Arcadia,28.0,2018-2019,Netflix,DreamWorks Animation Television,CGI,7.6,77%
5,3rd & Bird,51.0,2008-2010,Disney,Little Airplane Productions,Flash,7.8,92%
6,The 7D,44.0,2014-2016,Disney,Disney Television Animation,Traditional,5.7,85%
7,12 oz. Mouse,31.0,2005-2020,Adult Swim,Williams Street,Flash,6.5,72%
8,The 13 Ghosts of Scooby-Doo,13.0,1985,ABC,Hanna-Barbera,Traditional,7.3,91%
9,101 Dalmatians: The Series,65.0,1997-1998,ABCSyndication,Jumbo PicturesDisney Television Animation,Traditional,6.1,83%
10,Aaahh!!! Real Monsters,52.0,1994-1997,Nickelodeon,Klasky CsupoGames Animation,Traditional,7.2,86%
11,Abby's Flying Fairy School,26.0,2009-2012,PBS Kids,Sesame Workshop,CGI,4.9,76%
14,The Abbott and Costello Cartoon Show,39.0,1967-1968,Syndication,Hanna-Barbera,Traditional,7.0,78%
15,Abominable and the Invisible City,20.0,2022-2023,HuluPeacock,DreamWorks Animation Television,CGI,6.4,66%
16,Action League Now!,12.0,2001-2002,Nickelodeon,Nickelodeon Animation Studio,Stop-Motion,8.0,86%
17,Action Man (1995),26.0,1995-1996,Syndication,DIC Entertainment,Traditional/Live-Action,5.8,81%
18,"Ada Twist, Scientist",41.0,2021-present,Netflix,Netflix Animation,CGI,6.5,54%
19,The Addams Family (1973),16.0,1973,NBC,Hanna-Barbera,Traditional,6.6,85%
20,The Addams Family (1992),21.0,1992-1993,ABC,Hanna-Barbera,Traditional,7.0,93%
21,ADHD Shorts,6.0,2013-2015,Fox,ADHD Studios,Flash,4.2,54%
22,Adventure Time,283.0,2010-2018,Cartoon Network,Frederator StudiosCartoon Network Studios,Traditional,8.6,95%
23,Adventure Time: Distant Lands,4.0,2020-2021,HBO,Frederator StudiosCartoon Network Studios,Traditional,8.7,82%
24,Adventure Time: Fionna and Cake,2.0,2023-present,HBO,Frederator StudiosCartoon Network Studios,Traditional,8.9,88%
25,Adventures from the Book of Virtues,39.0,1996-2000,PBSPBS Kids,PorchLight Entertainment,Traditional,7.0,94%
